Business name,features
Renew Medical Spa,"33.4554458, -94.0536176, Resort hotel, 4.7, Texas"
Wag N Wheel Wash Self Serve Car Wash & Pet Wash,"43.054257, -75.272033, Pet friendly accommodation, 4.2, New York"
Days Inn by Wyndham Mt. Pleasant,"33.1659363, -94.9991546, Inn, 3.6, Texas"
The Wildflower Country Inn and Event Center,"29.9430053, -98.1018268, Yoga retreat center, 5.0, Texas"
Days Inn by Wyndham Mt. Pleasant,"33.1659363, -94.9991546, Hotel, 3.6, Texas"
The Wildflower Country Inn and Event Center,"29.9430053, -98.1018268, Lodge, 5.0, Texas"
CLOVE PLAZA,"41.3485863, -74.1673093, Hotel, 4.9, New York"
The Lodge Christian Retreat Center,"38.066305199999995, -120.18478449999999, Lodging, 5.0, California"
Wanderin' Star Farms,"30.24252, -98.04928439999999, Hotel, 4.7, Texas"
Delta Manor Men's Shelter,"40.838667799999996, -73.8670539, Hostel, 3.3, New York"
OYO Hotel Yoakum West,"29.2997072, -97.159109, Love hotel, 4.6, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Magnuson Hotel Pensacola,"30.4948639, -87.26289539999999, Hotel, 2.2, Florida"
Bonnie Springs Motel,"36.0590858, -115.4513053, Motel, 4.0, Nevada"
Silver Saddle Resort,"35.216055, -117.757982, Resort hotel, 4.5, California"
Magnuson Hotel Pensacola,"30.4948639, -87.26289539999999, Hotel, 2.2, Florida"
Sea Oaks,"27.7550292, -80.3964834, Lodging, 4.7, Florida"
Motel 6 Tyler Northwest,"32.382036899999996, -95.3324844, Motel, 2.9, Texas"
Rodeway Inn Near Florida Mall,"28.468061, -81.39614399999999, Hotel, 2.7, Florida"
Acra Manor Resort,"42.3099546, -74.0538134, Resort hotel, 4.0, New York"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Lodge, 3.5, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Menla Retreat and Dewa Spa,"42.0677379, -74.3709188, Resort hotel, 4.3, New York"
St Bernard's Park,"43.209758699999995, -77.6292266, Lodging, 4.0, New York"
Super 8 Laredo,"27.523114999999997, -99.503931, Motel, 3.5, Texas"
Universal Barber Shop,"27.7707327, -82.67433869999999, Lodging, 4.2, Florida"
St Bernard's Park,"43.209758699999995, -77.6292266, Lodging, 4.0, New York"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Hotel, 3.5, Texas"
Econo Lodge,"31.418371999999998, -103.517089, Motel, 2.6, Texas"
Sunset Motel,"39.5235805, -119.8379028, Motel, 3.0, Nevada"
The Falls Texas - OPENING SOON,"29.8464295, -96.5020059, Resort hotel, 4.0, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Cowboy Inn,"32.8016034, -97.3512387, Indoor lodging, 3.1, Texas"
Park Lane Townhomes,"32.876521, -96.87453939999999, Lodging, 2.6, Texas"
Comfort Inn & Suites Longview South - I-20,"32.449475299999996, -94.71444369999999, Hotel, 3.9, Texas"
Stanley RV Park Midland TX,"32.0428427, -101.98473419999999, Hotel, 4.2, Texas"
Pine Bay Farm Inc,"44.3958683, -75.83324429999999, Cabin rental agency, 5.0, New York"
Bella Toscana Med Spa,"28.8180083, -81.71372559999999, Resort hotel, 4.8, Florida"
Star Motel,"28.378304699999997, -82.6792076, Motel, 2.6, Florida"
Hilton Grand Vacations Sales Center,"28.399986799999997, -81.49302229999999, Hotel, 4.1, Florida"
Acra Manor Resort,"42.3099546, -74.0538134, Lodging, 4.0, New York"
Econo Lodge,"29.80021, -82.50929599999999, Motel, 3.0, Florida"
Country Inn Motel,"34.0635583, -117.6827812, Motel, 4.0, California"
Winters Creek Lodge,"39.3182812, -119.8698015, Ski resort, 4.6, Nevada"
Maderia Beach,"27.7925734, -82.7912987, Hotel, 4.8, Florida"
Conch On Inn Motel,"24.9857795, -80.5448567, Hotel, 4.4, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
Luigi's Deli & Italian Specialties,"41.7426542, -73.9927822, Self-catering accommodation, 4.7, New York"
The Castaways On the River,"29.1658458, -81.52429, Resort hotel, 4.5, Florida"
Wildwood Country Resort,"28.838257, -82.018073, Resort hotel, 4.1, Florida"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
The Wildflower Country Inn and Event Center,"29.9430053, -98.1018268, Yoga retreat center, 5.0, Texas"
Palm Towers,"25.8611288, -80.21326739999999, Lodging, 3.8, Florida"
Wingate by Wyndham Miramar,"25.9832592, -80.3473305, Inn, 3.5, Florida"
Rodeway Inn Near Florida Mall,"28.468061, -81.39614399999999, Hotel, 2.7, Florida"
Diamond H Bed & Breakfast,"29.7421169, -99.14275359999999, Indoor lodging, 4.9, Texas"
Sleep Inn JFK Airport,"40.705208999999996, -73.782127, Hotel, 3.8, New York"
New Ebony Hotel,"40.800419399999996, -73.95405099999999, Hotel, 3.3, New York"
Scottish Inns,"27.742319, -98.0844982, Hotel, 3.4, Texas"
Moose Lodge 557,"30.523487499999998, -87.20717429999999, Lodge, 4.7, Florida"
Lotus Pond Center for Yoga and Health,"28.044889599999998, -82.5462697, Retreat center, 4.9, Florida"
Forever Bungalows,"40.9916927, -72.2666567, Hotel, 4.0, New York"
Budget inn,"33.7882609, -97.7111312, Motel, 3.2, Texas"
Wanderin' Star Farms,"30.24252, -98.04928439999999, Hotel, 4.7, Texas"
Hunts point job center,"40.8173434, -73.89030029999999, Lodging, 3.4, New York"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Parkstead Watertown at Black River,"43.9737619, -75.884455, Lodging, 3.6, New York"
Palm Motel,"34.5826762, -118.11907169999999, Motel, 3.1, California"
GrandFloridianVilla,"28.130688799999998, -81.6290992, Hotel, 4.9, Florida"
Hotel,"30.731531, -86.35842099999999, Motel, 4.1, Florida"
Comfort Inn & Suites Longview South - I-20,"32.449475299999996, -94.71444369999999, Lodge, 3.9, Texas"
Days Inn & Suites Plano Medical Center/Dallas,"33.0115298, -96.7979364, Lodge, 2.5, Texas"
Travelers Inn,"32.0765151, -96.4479298, Motel, 2.9, Texas"
The Castaways On the River,"29.1658458, -81.52429, Motel, 4.5, Florida"
5 Star Island,"25.775873999999998, -80.15137059999999, Hotel, 4.1, Florida"
Circle F,"27.8778708, -81.5084796, Hotel, 4.8, Florida"
River's Edge Inn,"27.9426423, -80.53310139999999, Motel, 3.6, Florida"
Rodeway Inn,"27.484928, -97.849824, Hotel, 3.3, Texas"
Blue Mountain Reservation Trail Lodge,"41.271562499999995, -73.9214344, Hostel, 4.5, New York"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
Howard Johnson Inn Austin I-35,"30.228733499999997, -97.7430634, Lodge, 2.4, Texas"
Market Street Manor Motel,"40.5778974, -122.3874434, Motel, 2.9, California"
Reel Time Lodging,"28.4162547, -96.7160995, Indoor lodging, 4.9, Texas"
Siegel Suites Paradise,"36.1470469, -115.1532422, Indoor lodging, 3.7, Nevada"
Long Point Camp,"42.655497, -76.911808, Lodging, 4.9, New York"
Big Oaks Lodge,"34.5473704, -118.43402239999999, Lodge, 4.4, California"
Cowboy Inn,"32.8016034, -97.3512387, Inn, 3.1, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Riverbend Retreat Center,"32.2052806, -97.6934668, Retreat center, 4.8, Texas"
Renew Medical Spa,"33.4554458, -94.0536176, Resort hotel, 4.7, Texas"
Econo Lodge,"26.1135569, -97.16998269999999, Lodge, 2.8, Texas"
Americas Best Value Inn Red Oak Dallas,"32.515783899999995, -96.821029, Motel, 2.5, Texas"
League City Lodge 1053 AF&AM,"29.5108139, -95.0911897, Lodge, 4.9, Texas"
Rodeway Inn,"27.484928, -97.849824, Motel, 3.3, Texas"
Wingate by Wyndham Miramar,"25.9832592, -80.3473305, Hotel, 3.5, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Summit Inn Hotel & Suites,"29.891854, -97.915345, Extended stay hotel, 2.1, Texas"
Mount Saviour Monastery,"42.0898592, -76.9375903, Retreat center, 4.9, New York"
Rodeway Inn,"27.484928, -97.849824, Motel, 3.3, Texas"
Smallwood Beach,"41.658265799999995, -74.812007, Resort hotel, 4.7, New York"
Golden Inn Motel,"32.6639414, -96.578049, Motel, 2.8, Texas"
Resort Tours International LLC,"26.256967500000002, -80.1928482, Resort hotel, 4.2, Florida"
Elks Lodge #2492,"34.265422699999995, -118.6598621, Lodge, 4.5, California"
Century Motel,"32.7398357, -97.2756545, Motel, 3.7, Texas"
The Cabins at Matagorda,"28.7033731, -95.9642921, Hotel, 4.5, Texas"
Uncle Henry's Marina,"26.803270299999998, -82.275409, Resort hotel, 4.2, Florida"
Travelodge Houston Southeast,"29.649756099999998, -95.2505863, Inn, 1.9, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Spa at Grand Sierra Resort,"39.52312, -119.778391, Resort hotel, 4.2, Nevada"
SKY CAMP,"32.9401681, -98.4156782, Hotel, 4.6, Texas"
Linfield Motel,"32.7152047, -96.7554907, Hotel, 3.3, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Waldo's Camp,"29.735609, -96.5389938, Camping cabin, 4.7, Texas"
Howard Johnson Express Inn Gainesville FL,"29.617275, -82.340969, Lodge, 3.6, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Bonita Bay Club,"26.3507301, -81.81227799999999, Indoor lodging, 4.6, Florida"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Indoor lodging, 3.6, Texas"
You Lucky Dog Pet Resort,"29.657568899999998, -95.47617559999999, Pet friendly accommodation, 4.8, Texas"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Indoor lodging, 3.6, Texas"
Dolphin Court Salon & Day Spa,"36.194575, -115.25898049999999, Resort hotel, 4.4, Nevada"
Allure Floatspa,"35.9956552, -115.1000669, Resort hotel, 4.9, Nevada"
Classic Metals Suppliers,"25.8918449, -80.2747297, Lodging, 4.5, Florida"
Moose Lodge 557,"30.523487499999998, -87.20717429999999, Lodge, 4.7, Florida"
Long Point Camp,"42.655497, -76.911808, Lodging, 4.9, New York"
Sunset View Ranches,"26.084705399999997, -80.3472731, Hotel, 4.4, Florida"
Green Door Lofts,"31.554823799999998, -97.13381489999999, Lodge, 5.0, Texas"
IdleAir,"29.823480999999997, -94.895945, Motel, 3.5, Texas"
Howard Johnson Inn Austin I-35,"30.228733499999997, -97.7430634, Lodge, 2.4, Texas"
Big Oaks Lodge,"34.5473704, -118.43402239999999, Lodge, 4.4, California"
Maderia Beach,"27.7925734, -82.7912987, Hotel, 4.8, Florida"
Maple Ski Ridge,"42.8177282, -74.03164819999999, Ski resort, 4.5, New York"
Camp Kulaqua Retreat and Conference Center,"29.8504683, -82.5916124, Retreat center, 4.7, Florida"
Brown Estate of Lamar State College - Orange,"30.1073494, -93.7874684, Retreat center, 5.0, Texas"
Lake L Subdivision,"30.926347699999997, -95.3342208, Lodging, 3.6, Texas"
Civic Center Inn,"35.2057718, -101.83444949999999, Hotel, 3.5, Texas"
Paws Up Certified Dog Training & Pet Supplies,"43.014733299999996, -74.20798239999999, Pet friendly accommodation, 4.9, New York"
Wilderness Inn II Restaurant,"44.3784626, -73.8339574, Inn, 4.3, New York"
Barracks building 787,"32.6975972, -117.18749849999999, Lodging, 3.5, California"
Advance Motel,"29.7973909, -95.3269103, Motel, 4.1, Texas"
America's Best Inn Arlington,"32.7651354, -97.0644557, Motel, 2.9, Texas"
Summit Inn Hotel & Suites,"29.891854, -97.915345, Lodge, 2.1, Texas"
Lake House Apartments,"25.7568953, -80.40248129999999, Hotel, 4.0, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
Rodeway Inn & Suites,"34.068798699999995, -118.0997263, Hotel, 3.3, California"
Knights Inn Bradenton,"27.479056, -82.562516, Inn, 3.2, Florida"
Waltonia Lodges,"30.068043999999997, -99.29594999999999, Cabin rental agency, 4.5, Texas"
The Cabins at Matagorda,"28.7033731, -95.9642921, Indoor lodging, 4.5, Texas"
"Boxingology, LLC.","40.898690099999996, -73.838751, Health resort, 4.9, New York"
Capri Motel,"41.926901199999996, -73.9971922, Motel, 2.4, New York"
SS American Memorial Foundation,"29.547037699999997, -98.0108095, Retreat center, 4.9, Texas"
Super 8 Marshall TX,"32.4866184, -94.3590729, Lodge, 3.9, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Recharge Bar & Grill,"39.5540812, -119.4900325, Hotel, 3.6, Nevada"
Easy Street Pet Friendly Vacation Rental,"30.383287, -86.39909999999999, Pet friendly accommodation, 4.6, Florida"
Sherman Rooming House,"29.7369851, -95.3000223, Indoor lodging, 3.1, Texas"
Byblos Niagara Resort and Spa,"43.021336399999996, -78.8963582, Resort hotel, 3.8, New York"
Harbor Island Apartments,"36.109714, -115.1578794, Extended stay hotel, 2.4, Nevada"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
The Ritz-Carlton Members Golf Club,"27.41403, -82.3883819, Resort hotel, 4.8, Florida"
MARCO ISLAND,"25.912273, -81.7256061, Lodging, 4.6, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Tahoe Chalet Inn-Lake Tahoe Hotel,"38.9516363, -119.94953539999999, Hotel, 3.8, California"
Champion Lely Resort,"26.0845299, -81.70156279999999, Resort hotel, 4.6, Florida"
Stardust Motor Inn,"42.7597862, -73.9298634, Motel, 3.2, New York"
Bed and Biscuit Inn,"29.4687222, -81.1423722, Lodging, 4.7, Florida"
Tejas Camp & Retreat,"30.097156499999997, -96.9306259, Retreat center, 4.6, Texas"
The Goat Pens at Cigar Springs Ranch,"29.3383789, -103.5996504, Hotel, 4.7, Texas"
A1 Value Inn Hernando,"28.8972436, -82.3729841, Inn, 3.3, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Inn, 3.7, Florida"
oak manor apartments,"29.5075525, -98.4109099, Lodging, 3.6, Texas"
LakeSide,"28.318188499999998, -81.3452269, Lodging, 4.1, Florida"
La Siesta Motel,"43.4621007, -76.1444193, Motel, 3.3, New York"
Grande Motel,"31.472958199999997, -100.4438581, Motel, 2.9, Texas"
Langetree Retreat & Eco Center,"30.0735015, -94.6517181, Resort hotel, 4.6, Texas"
Americas Best Value Inn,"30.520492899999997, -97.6899574, Motel, 3.3, Texas"
Gatewood MOTEL,"36.1513294, -115.1072751, Motel, 3.3, Nevada"
Wallkill Inn & Suites,"41.4636297, -74.3748011, Hotel, 3.1, New York"
Order Sons of Italy In America,"40.770954599999996, -73.3326929, Lodge, 4.6, New York"
Marine Manor BLDG 1341,"33.3026809, -117.31960289999999, Hotel, 3.2, California"
Wildwood Country Resort,"28.838257, -82.018073, Resort hotel, 4.1, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Club River Run,"32.7769666, -117.1322994, Pet friendly accommodation, 3.2, California"
A1 Value Inn Hernando,"28.8972436, -82.3729841, Motel, 3.3, Florida"
Historic Carson Hot Springs,"39.193320199999995, -119.7519016, Resort hotel, 4.3, Nevada"
OYO Hotel Yoakum West,"29.2997072, -97.159109, Serviced accommodation, 4.6, Texas"
Windgate Apartments,"31.993741, -102.1084856, Lodging, 3.0, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
Studio 6,"29.4273039, -98.41566859999999, Motel, 3.2, Texas"
New Ebony Hotel,"40.800419399999996, -73.95405099999999, Hotel, 3.3, New York"
The Villas at Seven Dwarfs,"28.324064999999997, -81.466306, Resort hotel, 4.5, Florida"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Indoor lodging, 3.6, Texas"
Canine Cabana,"27.8576686, -82.2846419, Pet friendly accommodation, 4.8, Florida"
Comfort Inn & Suites Airport - Wolf Road,"42.710347, -73.821376, Lodge, 4.0, New York"
Terry Crews Sr Farms,"30.268508899999997, -82.1546401, Lodging, 4.5, Florida"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Inn, 3.7, Florida"
The 12 Step Group,"28.3567456, -80.74673039999999, Hotel, 4.7, Florida"
Knights Inn Fresno,"36.7917475, -119.7925882, Motel, 2.2, California"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Hotel, 3.7, Florida"
Bonnie Springs Motel,"36.0590858, -115.4513053, Motel, 4.0, Nevada"
Studio 6,"29.4273039, -98.41566859999999, Hotel, 3.2, Texas"
Valley Motel,"32.775951299999996, -97.36727139999999, Motel, 2.8, Texas"
Menla Retreat and Dewa Spa,"42.0677379, -74.3709188, Resort hotel, 4.3, New York"
Conch On Inn Motel,"24.9857795, -80.5448567, Hotel, 4.4, Florida"
Best Western Golden Triangle Inn - Closed,"32.83439, -117.17341599999999, Hotel, 3.2, California"
Camp Florida RV Resort,"27.2651899, -81.3460419, Resort hotel, 4.4, Florida"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Indoor lodging, 3.6, Texas"
Paws Grooming & Puppies 🐶,"25.944316099999998, -80.3434903, Hotel, 4.2, Florida"
Siegel Suites Paradise,"36.1470469, -115.1532422, Indoor lodging, 3.7, Nevada"
Lake Cisco Rentals Cabins,"32.4370802, -99.0042168, Lodge, 4.7, Texas"
Sea-View condos,"30.242794999999997, -85.928646, Lodge, 4.0, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Inn, 3.7, Florida"
Catskill Inn,"42.228553, -73.8694257, Indoor lodging, 2.6, New York"
oak manor apartments,"29.5075525, -98.4109099, Lodging, 3.6, Texas"
Summit Inn Hotel & Suites,"29.891854, -97.915345, Lodge, 2.1, Texas"
Alamo Inn & Suites,"29.493514599999997, -98.40042679999999, Hotel, 4.0, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Days Inn by Wyndham Mt. Pleasant,"33.1659363, -94.9991546, Hotel, 3.6, Texas"
Aster at Lely Resorts,"26.103167, -81.69093939999999, Hotel, 4.7, Florida"
Cedarkirk Cedar Lodge,"27.8730062, -82.1792337, Lodge, 4.8, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
The Pines Catholic Camp,"32.5891531, -95.0029543, Retreat center, 4.8, Texas"
Blue Water Retreat,"28.988652799999997, -95.24007499999999, Indoor lodging, 4.4, Texas"
Xanadu Salon and Spa,"30.3863585, -95.66654299999999, Resort hotel, 4.8, Texas"
Fountain Grass RV Park and Cabins,"29.093594, -95.4160471, Extended stay hotel, 4.5, Texas"
Baymont Inn & Suites Austin South,"30.211661199999998, -97.75266889999999, Hotel, 2.9, Texas"
IdleAir,"29.823480999999997, -94.895945, Hotel, 3.5, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
Days Inn by Wyndham Mt. Pleasant,"33.1659363, -94.9991546, Lodge, 3.6, Texas"
"Scottish Inns Vallejo, CA","38.1076098, -122.2292136, Inn, 3.4, California"
Villa Maria Residence,"29.4343021, -98.48857679999999, Indoor lodging, 4.5, Texas"
Fountainhouse Sparks at Victorian Square,"39.536557099999996, -119.7603508, Lodging, 3.8, Nevada"
Motel 6,"31.9610459, -95.268675, Motel, 3.6, Texas"
Loft Restaurant and Tiki bar,"27.150342, -80.1959542, Pet friendly accommodation, 4.2, Florida"
"Bedrock RV, Inn and Event Center","32.6895506, -95.72062539999999, Inn, 4.5, Texas"
Cocoa Beach Towers,"28.3700065, -80.6027483, Resort hotel, 4.6, Florida"
Bald Rocks Shelter,"41.2426459, -74.1322134, Mountain cabin, 4.5, New York"
Siena Golf Club,"36.107853999999996, -115.32462299999999, Resort hotel, 4.4, Nevada"
G’s Freeze,"29.6756198, -95.1411402, Pet friendly accommodation, 4.8, Texas"
Shangri-La,"42.566193999999996, -77.399333, Indoor lodging, 4.8, New York"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Indoor lodging, 3.6, Texas"
A Site To Sea,"29.4440128, -94.6482071, Resort hotel, 4.7, Texas"
Hospital,"40.745104, -73.8857785, Lodging, 4.2, New York"
Target Lodging Skillman Lodge,"31.823451, -103.6376245, Lodge, 3.6, Texas"
Longhorn Resort,"30.647118499999998, -98.44601349999999, Lodge, 4.1, Texas"
Radisson Hotels & Suites Dallas-Love Field,"32.8201134, -96.8678886, Hotel, 2.4, Texas"
Americas Best Value Inn Las Vegas,"36.0995491, -115.1652331, Hotel, 2.9, Nevada"
Newman’s Castle,"29.980275, -96.3042103, Lodging, 4.6, Texas"
Moose Lodge 557,"30.523487499999998, -87.20717429999999, Lodge, 4.7, Florida"
Stateline Casino,"36.8036618, -114.0791419, Hotel, 3.8, Nevada"
Knights Inn Bradenton,"27.479056, -82.562516, Hotel, 3.2, Florida"
Newman’s Castle,"29.980275, -96.3042103, Lodging, 4.6, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Hotel, 2.8, Florida"
Magnuson Hotel Pensacola,"30.4948639, -87.26289539999999, Inn, 2.2, Florida"
Americas Best Value Inn Las Vegas,"36.0995491, -115.1652331, Motel, 2.9, Nevada"
Flow Yoga Cedar Park,"30.521086, -97.83266979999999, Yoga retreat center, 4.9, Texas"
Dallas Endermologie,"32.7925311, -96.77502989999999, Resort hotel, 4.1, Texas"
ZaSpa,"29.7243049, -95.39027569999999, Hotel, 3.5, Texas"
Town House Motel Airport,"29.515662199999998, -98.460308, Motel, 3.4, Texas"
Gastonian Condos,"32.7968124, -96.7728987, Indoor lodging, 3.5, Texas"
Relax Inn,"32.511832, -94.82979619999999, Motel, 3.6, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
The Suites Boulder Highway,"36.116724999999995, -115.0679423, Extended stay hotel, 3.6, Nevada"
Best Western Long Island City,"40.7369151, -73.927988, Hotel, 3.4, New York"
Holiday Inn Express Melbourne,"28.0794926, -80.7018204, Hotel, 3.9, Florida"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Indoor lodging, 3.6, Texas"
Sage 'n Sand Motel,"29.1656494, -80.9765319, Indoor lodging, 3.9, Florida"
Middleton Hotel,"29.8267724, -95.3121884, Motel, 3.7, Texas"
Sons Of Italy,"42.0982731, -75.90689239999999, Lodge, 4.3, New York"
Wyndham Hotel Parking Garage,"29.4294785, -98.4935383, Lodging, 3.7, Texas"
B-Cozy Motel,"43.0677404, -78.84774689999999, Motel, 3.4, New York"
Mentone Beach Moose Lodge,"34.070712, -117.11845299999999, Lodge, 4.5, California"
Big Oaks Lodge,"34.5473704, -118.43402239999999, Lodge, 4.4, California"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Lodge, 3.5, Texas"
Holiday Inn Express Melbourne,"28.0794926, -80.7018204, Hotel, 3.9, Florida"
El Rancho Motel,"33.9195229, -118.2100492, Motel, 3.6, California"
Byblos Niagara Resort and Spa,"43.021336399999996, -78.8963582, Hotel, 3.8, New York"
Star Motel,"28.378304699999997, -82.6792076, Motel, 2.6, Florida"
Villagio Resorts (now The Belle Manor),"32.5194511, -97.2439804, Resort hotel, 4.5, Texas"
Southfork Hotel,"33.022086699999996, -96.7087725, Hotel, 3.5, Texas"
American Inn & Suites,"31.352374899999997, -96.15153099999999, Motel, 3.7, Texas"
Sunflower Beach Resort and Residences,"27.793951, -97.0897293, Resort hotel, 4.5, Texas"
Bed and Biscuit Inn,"29.4687222, -81.1423722, Lodging, 4.7, Florida"
Christopher's,"42.446766, -75.053573, Lodge, 3.8, New York"
A Place To Be Motel,"27.127169199999997, -82.4710487, Motel, 4.0, Florida"
Puddingstone Resort,"34.081727, -117.79104099999999, Resort hotel, 4.3, California"
Howard Johnson Inn Austin I-35,"30.228733499999997, -97.7430634, Inn, 2.4, Texas"
Wingate by Wyndham Miramar,"25.9832592, -80.3473305, Hotel, 3.5, Florida"
Dolphin Marina and Cottages,"24.6655251, -81.38681, Indoor lodging, 4.3, Florida"
America's Best Inn Arlington,"32.7651354, -97.0644557, Motel, 2.9, Texas"
Flamingo casino Las Vegas,"36.1164889, -115.1707691, Hotel, 4.3, Nevada"
Take It Easy RV Resort,"30.056449399999998, -99.1597408, Resort hotel, 4.2, Texas"
Roundhouse Inn,"39.1729477, -119.7670934, Hotel, 2.8, Nevada"
Fountainlodge.motel,"28.7779018, -81.2761652, Inn, 3.2, Florida"
Waltonia Lodges,"30.068043999999997, -99.29594999999999, Cabin rental agency, 4.5, Texas"
Budget Inn,"30.652139499999997, -97.010266, Motel, 2.8, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Hotel, 3.5, Texas"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Lodge, 3.5, Texas"
Idyllcreek A- Frame Vacation Cabin,"33.7439049, -116.7066138, Mountain cabin, 4.9, California"
74 Ranch Resort,"28.6777442, -98.3737609, Resort hotel, 5.0, Texas"
Whisper Falls Community,"29.370107599999997, -98.7535204, Lodging, 4.7, Texas"
The Cabins at Matagorda,"28.7033731, -95.9642921, Hotel, 4.5, Texas"
Fountain At Penitas RV Park,"26.2401531, -98.4417057, Lodging, 4.4, Texas"
Honey Lake Resort,"30.500440599999997, -83.6942538, Retreat center, 4.7, Florida"
Budget Inn,"30.652139499999997, -97.010266, Motel, 2.8, Texas"
Luxury Champions Gate Villa,"28.259584999999998, -81.65482, Holiday accommodation service, 4.7, Florida"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Galaxy Inn Dallas,"32.7651082, -96.8477592, Hotel, 2.7, Texas"
Frontier Senior Center,"40.4522792, -122.30133339999999, Retreat center, 4.7, California"
Acra Manor Resort,"42.3099546, -74.0538134, Lodging, 4.0, New York"
Pineywoods Camp,"31.020048199999998, -95.0310394, Retreat center, 4.8, Texas"
Rodeway Inn,"32.309959, -95.34152669999999, Hotel, 4.2, Texas"
JW Marriott Pool Deck,"28.4027235, -81.428752, Hotel, 4.8, Florida"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Star-Liter Motor Motel,"35.3453787, -119.00229739999999, Motel, 3.1, California"
Luxe Touch,"32.5239556, -96.82124119999999, Resort hotel, 4.7, Texas"
Star Hotel,"38.1332411, -121.27058319999999, Hotel, 2.8, California"
Days Inn by Wyndham Pearsall,"28.890697399999997, -99.11810679999999, Hotel, 3.7, Texas"
Sueno Motel,"29.388970999999998, -98.4795, Motel, 3.5, Texas"
Buffalo Airport Inn,"42.950626299999996, -78.693213, Motel, 2.4, New York"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Indoor lodging, 3.6, Texas"
